FECHA RECOGIDA MUESTRA;EDAR;RESULTADO SARS-COV-2;VARIACIÓN;OBSERVACIONES
2021-11-10;EBAR ARROYO DE LA ENCOMIENDA;POSITIVO;Aumento significativo;Se calcula la variación respecto a la semana previa a la anterior, al no tener cuantificación la inmediatamente anterior.
2021-11-09;EDAR MIRANDA DE EBRO;NEGATIVO;S/D;
2021-11-09;EDAR PONFERRADA;NEGATIVO;S/D;
2021-11-09;COLECTOR SAN ANDRÉS DE RABANEDO;POSITIVO;Aumento;Se considera una evolución en aumento puesto que al menos en las dos últimas muestras se ha obtenido un resultado negativo.
2021-11-09;COLECTOR VILLAQUILAMBRE;NEGATIVO;S/D;
2021-11-09;EDAR ZAMORA;NEGATIVO;S/D;
2021-11-09;EDAR ASTORGA;NEGATIVO;S/D;
2021-11-09;EDAR LA BAÑEZA;NEGATIVO;S/D;
2021-11-09;EBAR LAGUNA DE DUERO;PRESUNTO POSITIVO;Aumento;Se considera una evolución en aumento puesto que al menos en las dos últimas muestras se ha obtenido un resultado negativo.
2021-11-09;COLECTOR LEÓN;POSITIVO;Aumento;Se calcula la variación respecto a la semana previa a la anterior, al no tener cuantificación la inmediatamente anterior.
2021-11-09;EDAR PALENCIA;NEGATIVO;S/D;
2021-11-09;EDAR SALAMANCA;POSITIVO;Estable;Se calcula la variación respecto a la semana previa a la anterior, al no tener cuantificación la inmediatamente anterior.
2021-11-09;EBAR SANTA MARTA DE TORMES;NEGATIVO;S/D;
2021-11-09;EDAR ARANDA DE DUERO;NEGATIVO;S/D;
2021-11-09;EDAR ÁVILA;NEGATIVO;S/D;
2021-11-09;EDAR BENAVENTE;POSITIVO;Aumento;Se considera una evolución en aumento puesto que al menos en las dos últimas semanas se ha obtenido un resultado negativo.
2021-11-09;EDAR BURGOS;POSITIVO;Aumento;
2021-11-09;EDAR MEDINA DEL CAMPO;NEGATIVO;S/D;
2021-11-09;EDAR BÉJAR;NEGATIVO;S/D;
2021-11-09;EDAR CIUDAD RODRIGO;PRESUNTO POSITIVO;Disminución;Se calcula la variación respecto a la semana previa a la anterior, al no tener cuantificación la inmediatamente anterior.
2021-11-03;EBAR ARROYO DE LA ENCOMIENDA;NEGATIVO;S/D;
2021-11-03;EDAR SEGOVIA (VATAR);POSITIVO;S/D;Hubo precipitaciones el mismo día (0,4 mm) y el día anterior (9,4 mm) del muestreo, pudiendo haber diluido la muestra, disminuyendo la cuantificación de SARS-CoV-2.
2021-11-02;EDAR MIRANDA DE EBRO;NEGATIVO;S/D;
2021-11-02;EDAR PALENCIA;POSITIVO;Estable;
2021-11-02;EDAR ZAMORA;NEGATIVO;S/D;
2021-11-02;EDAR ARANDA DE DUERO;NEGATIVO;S/D;
2021-11-02;EDAR BÉJAR;POSITIVO;Aumento significativo;
2021-11-02;EDAR CIUDAD RODRIGO;NEGATIVO;S/D;
2021-11-02;EBAR LAGUNA DE DUERO;NEGATIVO;S/D;
2021-11-02;COLECTOR LEÓN;NEGATIVO;S/D;
2021-11-02;EBAR SANTA MARTA DE TORMES;NEGATIVO;S/D;
2021-11-02;COLECTOR VILLAQUILAMBRE;NEGATIVO;S/D;
2021-11-02;EDAR ASTORGA;NEGATIVO;S/D;
2021-11-02;EDAR BENAVENTE;NEGATIVO;S/D;
2021-11-02;EDAR MEDINA DEL CAMPO;POSITIVO;Aumento;
2021-11-02;EDAR PONFERRADA;NEGATIVO;S/D;
2021-11-02;EDAR SALAMANCA;NEGATIVO;S/D;
2021-11-02;COLECTOR SAN ANDRÉS DE RABANEDO;NEGATIVO;S/D;
2021-11-02;EDAR SORIA (VATAR);POSITIVO;Estable;Hubo precipitaciones el día anterior (6 mm) del muestreo, pudiendo haber diluido la muestra, disminuyendo la cuantificación de SARS-CoV-2.
2021-11-02;EDAR ÁVILA;NEGATIVO;S/D;
2021-11-02;EDAR BURGOS;PRESUNTO POSITIVO;Estable;
2021-11-02;EDAR LA BAÑEZA;NEGATIVO;S/D;
