"N.Registro";"Tipo";"Categoría";"Nombre";"Dirección";"C.Postal";"Provincia";"Municipio";"Localidad";"Nucleo";"Teléfono 1";"Teléfono 2";"Teléfono 3";"Email";"web";"Q Calidad";"Central Reservas";"Posada Real";"Plazas";"GPS.Longitud";"GPS.Latitud";"accesible a personas con discapacidad";
"34/000035";"Casa Rural de Alquiler";"3ª - 3 Estrellas";"LOS  VOLANTES";"Calle LOS VOLANTES S/N";"34477";"Palencia";"Bárcena de Campos";"BARCENA DE CAMPOS";"BARCENA DE CAMPOS";"979887050";"669311911";"";"los_volantes@hotmail.com";"www.ecoturismopalencia.es";"";"";"";"9";"-4,498252";"42,483102";"";
"24/000051";"Casa Rural de Alquiler";"2ª - 2 Estrellas";"LA ABUELA";"Calle LA AMARGURA, 8";"24436";"León";"Vega de Espinareda";"SAN PEDRO DE OLLEROS";"SAN PEDRO DE OLLEROS";"689912546";"689912546";"";"manuellopezsp@hotmail.com";"www.casarurallaabuela.com";"";"";"";"6";"-6,7132594";"42,7313872";"";
"37/000049";"Casa Rural de Alquiler";"3ª - 3 Estrellas";"LA ADUANA";"Plaza MAYOR 2";"37555";"Salamanca";"Alberguería de Argañán (La)";"ALBERGUERIA DE ARGAÑAN (LA)";"ALBERGUERIA DE ARGAÑAN (LA)";"923489369";"669235234";"";"casarurallaaduana@hotmail.com";"";"";"";"";"8";"-6,813056";"40,4122222";"Si";
"37/000044";"Casa Rural de Alquiler";"2ª - 2 Estrellas";"ALFARO I";"Calle LAGUNA 8";"37510";"Salamanca";"Martiago";"MARTIAGO";"MARTIAGO";"923480125";"660646697";"";"";"";"";"";"";"3";"-6,4905721";"40,4522469";"";
"37/000045";"Casa Rural de Alquiler";"2ª - 2 Estrellas";"ALFARO II";"Calle LAGUNA 8";"37510";"Salamanca";"Martiago";"MARTIAGO";"MARTIAGO";"923480125";"660646697";"";"asunpv@yahoo.es";"";"";"";"";"3";"-6,4905721";"40,4522469";"";
"37/000056";"Casa Rural de Alquiler";"2ª - 2 Estrellas";"ALFARO III";"Calle CHORRO S/N";"37510";"Salamanca";"Martiago";"MARTIAGO";"MARTIAGO";"923 480125";"660646697";"";"asunpv@yahoo.es";"";"";"";"";"2";"-6,4905721";"40,4522469";"";
"37/000057";"Casa Rural de Alquiler";"2ª - 2 Estrellas";"ALFARO IV";"Calle CHORRO s/n";"37510";"Salamanca";"Martiago";"MARTIAGO";"MARTIAGO";"923480125";"660646697";"";"asunpv@yahoo.es";"";"";"";"";"2";"-6,4905721";"40,4522469";"";
"37/000020";"Posada";"4ª - 4 Estrellas";"ARTESA";"Calle MAYOR 57";"37710";"Salamanca";"Candelario";"CANDELARIO";"CANDELARIO";"923413111";"609060557";"";"info@artesa.es";"www.artesa.es";"";"";"";"22";"-5,7435534";"40,3673373";"";
"37/000067";"Casa Rural de Alquiler";"4ª - 4 Estrellas";"LA ARTESANA I";"Carretera DE CORIA 30";"37657";"Salamanca";"Sotoserrano";"SOTOSERRANO";"SOTOSERRANO";"923192099";"653663207";"";"casaslasartesanas@hotmail.com";"www.casalaartesana.com";"";"";"";"6";"-6,0331033";"40,4356187";"";
"05/000053";"Casa Rural de Alquiler";"3ª - 3 Estrellas";"LA ASOMAILLA";"Avenida JUSTO MUÑOZ 2";"05634";"Ávila";"Hoyos del Espino";"HOYOS DEL ESPINO";"HOYOS DEL ESPINO";"920349010";"";"";"roberto.re@hotmail.com";"";"";"";"";"5";"-5,1748643";"40,3526106";"Si";
