Año;Provincia;Nº de zonas de abastecimiento;Nº infraestructuras - Captaciones;Nº infraestructuras - Estaciones de tratamiento;Nº infraestructuras - Depósitos;Nº infraestructuras - Redes de distribución;Análisis efectuados en las infraestructuras - Análisis de control;Análisis efectuados en las infraestructuras - Análisis completo;Análisis efectuados en las infraestructuras - Control en grifo;Análisis efectuados en las infraestructuras - Vigilancia sanitaria;Análisis efectuados en las infraestructuras - Otros análisis;Nº boletines analíticos de calidad de aguas de consumo humano por su calificación - Apta para el consumo;Nº boletines analíticos de calidad de aguas de consumo humano por su calificación - Apta para el consumo con no conformidad;Nº boletines analíticos de calidad de aguas de consumo humano por su calificación - No apta para el consumo;Nº boletines analíticos de calidad de aguas de consumo humano por su calificación - No apta para el consumo con riesgo para la salud;Nº boletines analíticos de calidad de aguas de consumo humano por su calificación - Análisis sin calificación;Nº registros revisados de infraestructuras - Captaciones;Nº registros revisados de infraestructuras - Estaciones de tratamiento;Nº registros revisados de infraestructuras - Depósitos;Nº registros revisados de infraestructuras - Redes de distribución;Nº registros revisados de infraestructuras -Instalaciones interiores;Nº registros revisados - Boletines analíticos;Nº registros revisados - Incidencias;Nº de bajas - Zonas de abastecimiento;Nº de bajas - Captaciones;Nº de bajas - Estaciones de tratamiento;Nº de bajas - Depósitos;Nº de bajas - Redes de distribución;Nº de altas - Zonas de abastecimiento;Nº de altas - Captaciones;Nº de altas - Estaciones de tratamiento;Nº de altas - Depósitos;Nº de altas - Redes de distribución;Nº de clorimetrías iniciales realizadas;Nº de clorimetrías de seguimiento realizadas;Nº total de determinaciones analíticas en captaciones - Arsénico;Nº total de determinaciones analíticas en captaciones - Cadmio;Nº total de determinaciones analíticas en captaciones - Cobre;Nº total de determinaciones analíticas en captaciones - Cromo;Nº total de determinaciones analíticas en captaciones - Fluoruros;Nº total de determinaciones analíticas en captaciones - Plomo;Nº total de determinaciones analíticas en captaciones - Aluminio;Nº total de determinaciones analíticas en captaciones - Cloruros;Nº total de determinaciones analíticas en captaciones - Hierro;Nº total de determinaciones analíticas en captaciones - Manganeso;Nº total de determinaciones analíticas en captaciones - Sodio;Nº total de determinaciones analíticas en captaciones - Sulfatos;Nº total de determinaciones analíticas en captaciones - Calcio;Nº total de determinaciones analíticas en captaciones - Magnesio;Nº total de determinaciones analíticas en captaciones - Potasio;Nº total de determinaciones analíticas en captaciones - Residuo seco;Nº total de determinaciones analíticas en captaciones - Vanadio;Nº total de determinaciones analíticas en captaciones - Conductividad;Nº total de determinaciones analíticas en redes - Arsénico;Nº total de determinaciones analíticas en redes - Cadmio;Nº total de determinaciones analíticas en redes - Cobre;Nº total de determinaciones analíticas en redes - Cromo;Nº total de determinaciones analíticas en redes - Fluoruros;Nº total de determinaciones analíticas en redes - Plomo;Nº total de determinaciones analíticas en redes - Aluminio;Nº total de determinaciones analíticas en redes - Cloruros;Nº total de determinaciones analíticas en redes - Hierro;Nº total de determinaciones analíticas en redes - Manganeso;Nº total de determinaciones analíticas en redes - Sodio;Nº total de determinaciones analíticas en redes - Sulfatos;Nº total de determinaciones analíticas en redes - Calcio;Nº total de determinaciones analíticas en redes - Magnesio;Nº total de determinaciones analíticas en redes - Potasio;Nº total de determinaciones analíticas en redes - Residuo seco;Nº total de determinaciones analíticas en redes - Vanadio;Nº total de determinaciones analíticas en redes - Conductividad;Resultados determinaciones analíticas en redes de distribución - Agua apta;Resultados determinaciones analíticas en redes de distribución - Agua apta con no conformidad;Resultados determinaciones analíticas en redes de distribución - Agua no apta;Nº de resoluciones efectuadas;Nº de revocaciones de resoluciones;Nº determinaciones de parámetros radiactivos en captaciones - Actividad Alfa total;Nº determinaciones de parámetros radiactivos en captaciones - Actividad Beta resto;Nº determinaciones de parámetros radiactivos en captaciones - Actividad Beta total;Nº determinaciones de parámetros radiactivos en captaciones - Pb-210;Nº determinaciones de parámetros radiactivos en captaciones - Po-210;Nº determinaciones de parámetros radiactivos en captaciones - Ra-224;Nº determinaciones de parámetros radiactivos en captaciones - Ra-226;Nº determinaciones de parámetros radiactivos en captaciones - Ra-228;Nº determinaciones de parámetros radiactivos en captaciones - Th-228;Nº determinaciones de parámetros radiactivos en captaciones - Th-230;Nº  determinaciones de parámetros radiactivos en captaciones - Th-232;Nº  determinaciones de parámetros radiactivos en captaciones - U-234;Nº determinaciones de parámetros radiactivos en captaciones - U-235;Nº determinaciones de parámetros radiactivos en captaciones - U-238;Nº determinaciones de parámetros radiactivos en captaciones - K-40;Nº determinaciones de parámetros radiactivos en captaciones - Rn-222;Nº  determinaciones de parámetros radiactivos en captaciones - Dosis Indicativa;Nº determinaciones de parámetros radiactivos en redes - Actividad Alfa total;Nº determinaciones de parámetros radiactivos en redes - Actividad Beta resto;Nº determinaciones de parámetros radiactivos en redes - Actividad Beta total;Nº determinaciones de parámetros radiactivos en redes - Pb-210;Nº determinaciones de parámetros radiactivos en redes - Po-210;Nº determinaciones de parámetros radiactivos en redes - Ra-224;Nº determinaciones de parámetros radiactivos en redes - Ra-226;Nº determinaciones de parámetros radiactivos en redes - Ra-228;Nº determinaciones de parámetros radiactivos en redes - U-234;Nº determinaciones de parámetros radiactivos en redes - U-235;Nº determinaciones de parámetros radiactivos en redes - U-238;Nº determinaciones de parámetros radiactivos en redes - K-40;Nº determinaciones de parámetros radiactivos en redes - Dosis Indicativa;Nº determinaciones analíticas - Aluminio;Nº determinaciones analíticas - Cadmio;Nº determinaciones analíticas - Calcio;Nº determinaciones analíticas - Cloruros;Nº determinaciones analíticas - Cobre;Nº determinaciones analíticas - Conductividad;Nº determinaciones analíticas - Cromo;Nº determinaciones analíticas - Fluoruros;Nº determinaciones analíticas - Magnesio;Nº determinaciones analíticas - Manganeso;Nº determinaciones analíticas - pH;Nº determinaciones analíticas - Plomo;Nº determinaciones analíticas - Potasio;Nº determinaciones analíticas - Residuo seco;Nº determinaciones analíticas - Selenio;Nº determinaciones analíticas - Sodio;Nº determinaciones analíticas - Sulfatos;Nº determinaciones analíticas - Vanadio;Nº muestras para el análisis de Microcistinas;Nº incumplimientos detectados - Microcistinas;Nº muestras para el análisis de Trihalometanos;Nº incumplimientos detectados - Trihalometanos
2019;Ávila;235;651;402;481;390;1648;254;1119;1265;658;3944;465;239;23;273;48;29;36;30;98;320.0;63;0;0;1;1;0;1;7;5;4;4;944;46;62;52;52;52;184;51;51;187;61;121;187;187;0;3;0;0;52;187;23;2;2;2;32;3;2;31;24;8;32;32;0;1;0;0;2;32;24;2;7;0;0;1;1;1;1;5;1;1;1;;;;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;;0;0;0;9;0;9;0
2019;Palencia;154;436;378;461;396;1022;195;1003;1041;292;3200;187;102;12;52;21;20;23;19;43;156.0;21;0;0;0;0;0;2;1;1;1;0;1051;2;0;4;4;4;4;4;4;4;0;4;1;4;1;1;1;1;4;4;1;17;17;17;20;17;17;19;1;17;1;19;0;0;0;0;17;19;17;0;2;0;0;2;2;2;2;2;2;2;2;;;;2;2;2;2;0;2;6;6;6;6;6;6;6;6;6;6;6;6;6;1;1;1;1;1;1;1;1;1;1;;1;1;1;;1;1;1;0;0;10;0
2019;Segovia;162;434;384;468;382;1302;248;1216;930;947;4021;237;159;14;212;25;18;20;15;29;178.0;55;0;0;0;0;7;0;4;3;1;6;742;0;44;20;20;20;84;20;20;84;44;41;84;84;0;0;0;0;20;84;13;0;0;0;13;0;0;13;13;0;13;13;0;0;0;0;0;13;11;1;2;0;0;2;2;2;2;3;2;2;2;;;;2;2;2;2;0;2;6;6;6;6;6;6;6;6;6;6;6;6;6;0;0;0;0;0;0;0;0;0;0;;0;0;0;;0;0;0;10;0;13;0
2019;Valladolid;149;344;293;334;271;1679;246;1155;902;689;4219;253;76;5;118;18;9;15;14;73;207.0;53;0;0;0;0;0;1;1;0;1;0;812;3;28;10;10;11;37;10;10;37;28;10;38;37;0;0;0;0;8;37;10;5;5;5;15;5;5;15;10;5;15;15;0;0;0;0;4;15;12;3;4;0;0;0;0;0;0;0;0;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;;0;0;0;0;0;19;0
2018;Ávila;234;644;398;478;389;1633;147;1222;1160;599;3857;435;227;20;222;50;36;44;39;147;314.0;49;4;0;0;2;7;2;34;16;13;14;953;8;21;3;3;3;41;3;3;41;21;3;41;41;3;3;3;;0;;4;0;0;0;4;0;0;4;4;0;4;4;0;0;0;;0;;17;0;1;0;0;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;;5;;;;;;;;;;;;;;5;5;5;;5;5;5;;5;;5;5;5;5;5;;;5;8;0;9;0
2018;Burgos;293;1180;819;1065;833;1792;134;1788;2028;462;5326;301;149;17;411;233;158;190;158;251;827.0;116;5;0;0;1;0;1;2;3;2;0;1655;33;124;84;84;83;191;84;85;191;124;88;190;191;15;15;15;;85;;2;2;2;2;6;2;2;5;5;5;3;15;0;0;0;;2;;9;7;1;0;0;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;;17;;;;;;;;;;;;;;17;17;17;;17;17;17;;17;;17;17;17;17;17;;;17;0;0;6;0
2018;Salamanca;242;666;482;581;466;2291;289;1924;1295;2864;7048;888;244;11;472;63;36;47;32;102;502.0;35;0;0;0;0;0;0;10;6;11;4;1084;10;89;12;12;12;21;12;12;21;9;14;21;21;14;14;14;;12;;39;0;0;0;3;0;0;0;3;4;0;0;0;0;0;;0;;13;0;8;1;2;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;;14;;;;;;;;;;;;;;14;14;14;;14;14;14;;14;;14;14;14;14;14;;;14;10;0;18;0
2018;Valladolid;150;343;293;333;271;1948;202;1293;911;699;4583;212;89;4;165;29;25;24;21;83;345.0;36;0;0;0;0;0;0;1;0;0;0;785;7;26;11;11;11;48;11;11;48;26;11;48;48;6;6;6;;11;;4;0;0;0;10;0;0;10;4;0;10;10;0;0;0;;0;;41;9;0;0;0;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;;12;;;;;;;;;;;;;;12;12;12;;12;12;12;;12;;12;12;12;12;12;;;12;0;0;16;1
2018;Zamora;235;711;533;627;536;1441;142;1540;1433;476;4054;618;52;3;305;144;114;112;104;202;628.0;343;8;0;0;1;0;2;6;7;7;6;1123;49;80;6;6;6;49;6;6;49;24;94;46;47;0;6;0;;6;;9;0;0;0;3;0;0;1;5;8;2;1;0;0;0;;0;;68;17;18;6;0;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;;8;;;;;;;;;;;;;;8;8;8;;8;8;8;;8;;8;8;8;8;8;;;8;6;0;9;1
2017;Palencia;156;435;376;461;396;1047;128;1034;1079;297;3095;227;42;8;213;188;135;176;142;198;891.0;133;0;0;0;1;0;0;5;1;0;0;932;7;36;;;;129;;;129;36;93;129;129;;;;;;;1;;;;4;;;4;1;3;4;4;;;;;;;230;14;19;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;;;;;;;;;;;;;;103;103;0;;103;143;103;;0;;0;103;0;143;60;;;103;2;0;5;0
2017;Valladolid;150;342;293;333;271;1564;185;1164;868;607;4027;182;49;1;129;108;114;110;72;320;1418.0;466;4;1;0;2;0;1;1;0;0;0;436;0;14;;;;43;;;43;14;11;43;43;;;;;;;3;;;;11;;;11;3;0;11;11;;;;;;;328;52;12;0;;7;7;6;7;7;7;7;7;7;7;7;7;7;7;;;7;;;;;;;;;;;;;;11;11;0;;11;54;11;;0;;0;11;0;24;10;;;11;0;0;15;1
2017;Zamora;241;705;526;621;530;1524;91;1568;1499;504;4197;638;52;1;298;211;144;204;165;259;1010.0;272;0;0;0;0;2;0;13;11;1;13;1124;58;77;;;;199;;;197;77;122;197;195;;;;;;;18;;;;21;;;14;15;13;16;6;;;;;;;257;35;32;6;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;;;;;;;;;;;;;;5;7;0;;7;201;7;;0;;0;7;0;84;3;;;7;9;0;31;3
